T07	"Enrolment in primary, secondary and tertiary education levels"					
458	Malaysia	2015	Students enrolled in primary education (thousands)	"3,108"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2015	Gross enrollement ratio - Primary (male)	103.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2015	Gross enrollment ratio - Primary (female)	103.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2015	Students enrolled in secondary education (thousands)	"2,801"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2015	Gross enrollment ratio - Secondary (male)	81.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2015	Gross enrollment ratio - Secondary (female)	88.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2015	Students enrolled in tertiary education (thousands)	"1,302"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2015	Gross enrollment ratio - Tertiary (male)	36.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2015	Gross enrollment ratio - Tertiary (female)	48.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2016	Students enrolled in primary education (thousands)	"3,101"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2016	Gross enrollement ratio - Primary (male)	103.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2016	Gross enrollment ratio - Primary (female)	103.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2016	Students enrolled in secondary education (thousands)	"2,760"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2016	Gross enrollment ratio - Secondary (male)	82.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2016	Gross enrollment ratio - Secondary (female)	87.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2016	Students enrolled in tertiary education (thousands)	"1,337"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2016	Gross enrollment ratio - Tertiary (male)	40.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
458	Malaysia	2016	Gross enrollment ratio - Tertiary (female)	48.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2003	Students enrolled in primary education (thousands)	66		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2003	Gross enrollement ratio - Primary (male)	128.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2003	Gross enrollment ratio - Primary (female)	124.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2003	Students enrolled in secondary education (thousands)	29		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2003	Gross enrollment ratio - Secondary (male)	64		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2003	Gross enrollment ratio - Secondary (female)	73.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2003	Students enrolled in tertiary education (thousands)	0		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2003	Gross enrollment ratio - Tertiary (male)	0.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2003	Gross enrollment ratio - Tertiary (female)	0.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2004	Students enrolled in primary education (thousands)	63		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2004	Gross enrollement ratio - Primary (male)	127.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2004	Gross enrollment ratio - Primary (female)	122.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2004	Students enrolled in secondary education (thousands)	29	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2004	Gross enrollment ratio - Secondary (male)	64	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2004	Gross enrollment ratio - Secondary (female)	74.6	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2005	Students enrolled in primary education (thousands)	58		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2005	Gross enrollement ratio - Primary (male)	121.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2005	Gross enrollment ratio - Primary (female)	117		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2008	Students enrolled in primary education (thousands)	47		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2008	Gross enrollement ratio - Primary (male)	111.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2008	Gross enrollment ratio - Primary (female)	107.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2008	Students enrolled in tertiary education (thousands)	5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2008	Gross enrollment ratio - Tertiary (male)	9.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2008	Gross enrollment ratio - Tertiary (female)	13.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2009	Students enrolled in primary education (thousands)	45		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2009	Gross enrollement ratio - Primary (male)	109.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2009	Gross enrollment ratio - Primary (female)	105.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2010	Students enrolled in primary education (thousands)	42		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2014	Students enrolled in primary education (thousands)	40		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2014	Students enrolled in tertiary education (thousands)	6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2014	Gross enrollment ratio - Tertiary (male)	9.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2014	Gross enrollment ratio - Tertiary (female)	20.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2015	Students enrolled in primary education (thousands)	42		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2015	Gross enrollement ratio - Primary (male)	102.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2015	Gross enrollment ratio - Primary (female)	99.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2016	Students enrolled in primary education (thousands)	44		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2016	Gross enrollement ratio - Primary (male)	101.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
462	Maldives	2016	Gross enrollment ratio - Primary (female)	101.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2002	Students enrolled in primary education (thousands)	"1,227"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2002	Gross enrollement ratio - Primary (male)	75.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2002	Gross enrollment ratio - Primary (female)	56.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2002	Students enrolled in tertiary education (thousands)	23		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2002	Gross enrollment ratio - Tertiary (male)	2.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2002	Gross enrollment ratio - Tertiary (female)	1.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2005	Students enrolled in primary education (thousands)	"1,506"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2005	Gross enrollement ratio - Primary (male)	82.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2005	Gross enrollment ratio - Primary (female)	64.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2005	Students enrolled in secondary education (thousands)	430		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2005	Gross enrollment ratio - Secondary (male)	31.8	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2005	Gross enrollment ratio - Secondary (female)	19.6	Estimate.	"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2010	Students enrolled in primary education (thousands)	"2,019"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2010	Gross enrollement ratio - Primary (male)	89.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2010	Gross enrollment ratio - Primary (female)	76.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2010	Students enrolled in secondary education (thousands)	758		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2010	Gross enrollment ratio - Secondary (male)	46.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2010	Gross enrollment ratio - Secondary (female)	31.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2010	Students enrolled in tertiary education (thousands)	81		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2010	Gross enrollment ratio - Tertiary (male)	8.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2010	Gross enrollment ratio - Tertiary (female)	3.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2014	Students enrolled in primary education (thousands)	"2,182"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2014	Gross enrollement ratio - Primary (male)	81.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2014	Gross enrollment ratio - Primary (female)	72.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2014	Students enrolled in secondary education (thousands)	961		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2014	Gross enrollment ratio - Secondary (male)	50.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2014	Gross enrollment ratio - Secondary (female)	37.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2014	Students enrolled in tertiary education (thousands)	88		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2014	Gross enrollment ratio - Tertiary (male)	8.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2014	Gross enrollment ratio - Tertiary (female)	3.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2015	Students enrolled in primary education (thousands)	"2,227"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2015	Gross enrollement ratio - Primary (male)	79.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2015	Gross enrollment ratio - Primary (female)	71.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2015	Students enrolled in secondary education (thousands)	945		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2015	Gross enrollment ratio - Secondary (male)	46.4		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2015	Gross enrollment ratio - Secondary (female)	36.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2015	Students enrolled in tertiary education (thousands)	83		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2015	Gross enrollment ratio - Tertiary (male)	7.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2015	Gross enrollment ratio - Tertiary (female)	3.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2016	Students enrolled in primary education (thousands)	"2,356"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2016	Gross enrollement ratio - Primary (male)	81.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2016	Gross enrollment ratio - Primary (female)	72.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2016	Students enrolled in secondary education (thousands)	"1,014"		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2016	Gross enrollment ratio - Secondary (male)	49.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
466	Mali	2016	Gross enrollment ratio - Secondary (female)	36.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2005	Students enrolled in primary education (thousands)	30		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2005	Gross enrollement ratio - Primary (male)	98		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2005	Gross enrollment ratio - Primary (female)	95.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2005	Students enrolled in secondary education (thousands)	40		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2005	Gross enrollment ratio - Secondary (male)	104.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2005	Gross enrollment ratio - Secondary (female)	100.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2005	Students enrolled in tertiary education (thousands)	9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2005	Gross enrollment ratio - Tertiary (male)	27.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2005	Gross enrollment ratio - Tertiary (female)	37.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2010	Students enrolled in primary education (thousands)	25		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2010	Gross enrollement ratio - Primary (male)	98.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2010	Gross enrollment ratio - Primary (female)	99.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2010	Students enrolled in secondary education (thousands)	37		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2010	Gross enrollment ratio - Secondary (male)	109.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2010	Gross enrollment ratio - Secondary (female)	98		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2010	Students enrolled in tertiary education (thousands)	11		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2010	Gross enrollment ratio - Tertiary (male)	31.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2010	Gross enrollment ratio - Tertiary (female)	42.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2014	Students enrolled in primary education (thousands)	24		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2014	Gross enrollement ratio - Primary (male)	101.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2014	Gross enrollment ratio - Primary (female)	102.8		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2014	Students enrolled in secondary education (thousands)	30		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2014	Gross enrollment ratio - Secondary (male)	92.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2014	Gross enrollment ratio - Secondary (female)	96.5		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2014	Students enrolled in tertiary education (thousands)	13		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2014	Gross enrollment ratio - Tertiary (male)	38.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2014	Gross enrollment ratio - Tertiary (female)	50.9		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2015	Students enrolled in primary education (thousands)	25		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2015	Gross enrollement ratio - Primary (male)	102.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2015	Gross enrollment ratio - Primary (female)	104.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2015	Students enrolled in secondary education (thousands)	29		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2015	Gross enrollment ratio - Secondary (male)	91.7		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2015	Gross enrollment ratio - Secondary (female)	98.1		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2015	Students enrolled in tertiary education (thousands)	13		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2015	Gross enrollment ratio - Tertiary (male)	40.3		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2015	Gross enrollment ratio - Tertiary (female)	55.2		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2016	Students enrolled in primary education (thousands)	25		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2016	Gross enrollement ratio - Primary (male)	102.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2016	Gross enrollment ratio - Primary (female)	106.6		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
470	Malta	2016	Students enrolled in secondary education (thousands)	29		"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
